zipcode,abs_pct_error
98014,37.93972963418732
98108,27.01075825861505
98112,21.54632958040239
98019,20.845413918281256
98004,20.131683195879624
98118,19.93434034060391
98168,19.557255925348755
98102,18.894574402811468
98146,18.75202784539555
98166,18.684181929373484
98010,18.507022336997384
98039,17.901117083210618
98119,17.8319709128683
98070,17.660377501240944
98178,17.559887541528408
98122,17.303874460579742
98106,17.24613732305592
98032,17.178140266584936
98133,16.41838024497352
98155,16.41534393062021
98188,16.167786788611476
98126,15.643177603218192
98144,15.495170953025413
98125,15.320355686567282
98109,14.854199302859845
98177,14.710527389995098
98040,14.698498153162607
98055,14.585568545596322
98006,14.264409683470165
98028,14.24860646923751
98103,14.225783863924216
98148,13.983591133566044
98199,13.87862615910592
98136,13.688481820363204
98058,13.572533524312693
98198,13.365335475602084
98024,13.259348628237706
98077,12.847592543401388
98045,12.38978359744255
98107,12.357602832273239
98117,12.335868603734724
98023,12.269217071831115
98115,12.22378871696288
98001,12.077630645894736
98116,12.054203769398397
98105,11.95267035669393
98059,11.844162803643304
98003,11.786892815241329
98056,11.760950004582476
98008,11.736237527471099
98042,11.645671669177512
98030,11.557494269798896
98027,11.526373805550906
98033,11.469438180592656
98052,11.054759899663711
98002,10.878214562965992
98005,10.86289423137908
98072,10.607373366521161
98034,10.519217678709015
98022,10.381095383231468
98038,10.330960249705813
98011,10.266872164259688
98074,10.067146114161746
98092,10.018706235228331
98053,9.56591717808878
98075,9.55356223068816
98029,8.981260250960405
98065,8.733672534792422
98007,8.567276684829379
98031,8.366242097544449
