id,price,zipcode,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,house_age,is_renovated,years_since_renovation,dist_to_center_km,living_lot_ratio,basement_flag,lat,long,split
603000555,462500.0,98118,6,3.0,2390,4000,2.0,0,0,3,7,2390,0,1,0,1,10.472956876333225,0.5975,0,47.5173,-122.286,train
6071000265,550000.0,98006,3,2.5,2140,10136,1.0,0,0,3,8,1320,820,57,0,57,12.22904324539254,0.2111286503551697,1,47.5602,-122.184,train
6705120540,462370.0,98006,2,2.25,1860,2670,2.0,0,0,4,8,1860,0,28,0,28,12.920091564993315,0.6966292134831461,0,47.5436,-122.187,train
984000780,304000.0,98058,4,2.0,1810,8750,1.0,0,0,2,7,1110,700,47,0,47,23.00012933224841,0.2068571428571428,1,47.4307,-122.17,train
1974200020,450000.0,98034,4,1.75,2190,9752,1.0,0,0,3,8,2190,0,51,0,51,13.560932734909382,0.2245693191140279,0,47.7108,-122.239,train
6819100345,700000.0,98109,4,1.75,2360,6000,1.0,0,0,3,7,1280,1080,60,0,60,4.8541577372719225,0.3933333333333333,1,47.6465,-122.357,train
5468730280,290000.0,98042,4,2.5,1850,5674,2.0,0,0,3,7,1850,0,21,0,21,31.5122276516062,0.3260486429326754,0,47.3536,-122.142,train
6610000591,1205000.0,98107,4,2.75,2470,5500,1.0,0,3,3,9,1570,900,54,1,9,6.141331660898151,0.4490909090909091,1,47.6586,-122.358,train
3275860240,770000.0,98052,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,24,0,24,19.842760163329626,0.2851822814582516,0,47.6897,-122.098,train
2798600240,295700.0,98092,4,2.5,1720,5805,2.0,0,0,3,8,1720,0,14,0,14,32.24647043441051,0.2962962962962963,0,47.3286,-122.208,train
1610000016,175000.0,98168,4,1.0,1300,6030,1.5,0,0,3,6,1300,0,67,0,67,14.690781138572914,0.2155887230514096,0,47.4778,-122.286,train
192460060,330000.0,98045,3,1.75,1510,15744,1.0,0,0,3,7,1510,0,29,0,29,45.67417421142008,0.0959095528455284,0,47.476,-121.755,train
3158500130,379950.0,98038,4,2.5,2680,4500,2.0,0,0,3,8,2680,0,3,0,3,34.697150043813025,0.5955555555555555,0,47.3561,-122.056,train
7504020610,615000.0,98074,5,2.25,2480,12070,2.0,0,0,3,9,2480,0,36,0,36,21.17447611139692,0.2054681027340513,0,47.631,-122.052,train
9268200380,505000.0,98117,2,1.0,1250,5040,1.0,0,0,3,7,950,300,94,0,94,10.27412441861922,0.248015873015873,1,47.6959,-122.365,train
7660100238,329950.0,98144,3,2.5,1300,812,2.0,0,0,3,8,880,420,6,0,6,2.193927881410512,1.6009852216748768,1,47.5893,-122.317,train
8562970040,655000.0,98155,5,3.25,3690,12353,2.0,0,0,5,9,3690,0,37,0,37,18.152281722587748,0.2987128632720796,0,47.7672,-122.292,train
3992700775,410000.0,98125,4,2.0,1490,13736,1.0,0,0,4,6,1490,0,73,0,73,12.371269376832002,0.1084740827023878,0,47.712,-122.281,train
1036100100,435000.0,98011,3,2.5,1900,7984,2.0,0,0,3,8,1900,0,21,0,21,18.420527169424027,0.2379759519038076,0,47.7433,-122.194,train
4315700275,590000.0,98136,4,2.5,2380,4950,2.0,0,0,3,8,2380,0,10,0,10,8.757663826589832,0.4808080808080808,0,47.5382,-122.391,train
8937600080,295000.0,98023,3,1.75,1930,13350,1.0,0,0,3,8,1930,0,48,0,48,30.62302343133088,0.1445692883895131,0,47.3317,-122.365,train
2781200090,410000.0,98038,4,2.5,2560,4020,2.0,0,0,3,9,2560,0,8,0,8,36.28386554610492,0.6368159203980099,0,47.3533,-122.027,train
1373800330,1115000.0,98199,4,2.5,3690,11191,1.0,0,3,4,10,2190,1500,64,0,64,7.277784690074559,0.3297292467161111,1,47.6434,-122.412,train
5101404170,200000.0,98115,1,0.75,680,9600,1.0,0,0,3,5,680,0,67,0,67,10.218546009301862,0.0708333333333333,0,47.6964,-122.306,train
8965410150,962800.0,98006,4,2.5,3780,23623,2.0,0,0,3,9,3780,0,17,0,17,16.894255200063228,0.1600135461203065,0,47.559,-122.118,train
4226900211,560000.0,98122,4,1.0,1360,5814,1.5,0,0,2,6,1360,0,114,0,114,1.3829826610861695,0.2339181286549707,0,47.6038,-122.314,train
6130500120,428000.0,98133,3,2.5,1650,2201,3.0,0,0,3,8,1650,0,8,0,8,11.631184644579394,0.7496592457973649,0,47.7108,-122.333,train
8820903555,467500.0,98125,3,1.0,1830,6453,1.0,0,0,4,7,1830,0,59,0,59,12.422783840407469,0.2835890283589028,0,47.7139,-122.288,train
5635100090,379950.0,98030,4,2.5,2612,5850,2.0,0,0,3,8,2612,0,1,0,1,27.85580786824745,0.4464957264957265,0,47.3751,-122.189,train
5166700050,600000.0,98126,5,2.25,2760,6350,1.0,0,0,3,7,1380,1380,57,0,57,6.588575944578099,0.4346456692913386,1,47.5561,-122.379,train
8722100570,1600000.0,98112,4,2.25,2940,5735,1.0,0,0,3,9,1470,1470,58,0,58,4.125210045186985,0.5126416739319966,1,47.6381,-122.304,train
9358000780,275000.0,98126,2,1.0,830,5610,1.0,0,0,3,6,830,0,93,0,93,5.046251511875756,0.1479500891265597,0,47.5674,-122.367,train
2144800146,257500.0,98178,3,2.0,1300,9334,1.0,0,0,5,7,1300,0,33,0,33,15.067826951313748,0.1392757660167131,0,47.4865,-122.238,train
6003001999,530000.0,98102,2,1.75,1170,976,2.0,0,0,3,9,780,390,5,0,5,1.8831094530585275,1.1987704918032789,1,47.6192,-122.316,train
3226059128,850000.0,98033,5,3.5,3450,28324,1.0,0,0,5,8,2350,1100,42,0,42,14.513238926023192,0.1218048298262957,1,47.6991,-122.196,train
5466420030,253000.0,98042,3,2.5,2020,6564,1.0,0,0,3,7,1310,710,20,0,20,30.894918167945445,0.307739183424741,1,47.3545,-122.158,train
1099600220,185000.0,98023,3,1.0,1010,6400,1.0,0,0,3,7,1010,0,44,0,44,33.90868973719816,0.1578125,0,47.3027,-122.376,train
1592000050,655000.0,98074,4,2.5,2370,9517,1.0,0,0,3,9,1630,740,30,0,30,22.41587471112406,0.2490280550593674,1,47.6222,-122.034,train
9421500160,495000.0,98125,4,1.5,1810,7998,1.0,0,0,3,8,1210,600,55,0,55,13.577988135493184,0.226306576644161,1,47.726,-122.297,train
2268000470,241500.0,98003,3,1.0,1400,10425,1.0,0,0,4,7,1400,0,46,0,46,37.035125766289696,0.1342925659472422,0,47.2738,-122.301,train
2338800100,543200.0,98166,6,2.25,2820,15600,1.5,0,2,5,7,1970,850,74,0,74,16.02549727180806,0.1807692307692307,1,47.4635,-122.362,train
3814900950,345000.0,98092,4,2.5,1983,6002,2.0,0,0,3,9,1983,0,2,0,2,33.40533749067243,0.3303898700433189,0,47.3281,-122.164,train
3905050280,533000.0,98029,3,2.5,2060,4812,2.0,0,0,3,8,2060,0,24,0,24,24.934041600970986,0.42809642560266,0,47.5793,-122.002,train
7697000170,312000.0,98038,3,2.5,1750,4076,2.0,0,0,3,7,1750,0,1,0,1,34.881835208203256,0.429342492639843,0,47.3597,-122.045,train
6141600179,376000.0,98133,3,2.25,1470,9140,2.0,0,2,3,7,1470,0,32,0,32,12.296750392643377,0.1608315098468271,0,47.7162,-122.349,train
6979900370,574000.0,98053,4,2.5,3240,22795,2.0,0,0,3,8,3240,0,16,0,16,27.37613868226941,0.1421364334283834,0,47.6329,-121.969,train
7199360320,411500.0,98052,3,1.0,1110,7208,1.0,0,0,3,7,1110,0,35,0,35,18.62640774441465,0.1539955604883462,0,47.6979,-122.124,train
8018600980,187250.0,98168,2,1.0,710,14700,1.0,0,0,5,6,710,0,88,0,88,12.531948514138772,0.0482993197278911,0,47.4939,-122.318,train
3856901760,730000.0,98105,2,1.0,1860,3400,1.0,0,0,3,7,1010,850,94,0,94,7.253628712058705,0.5470588235294118,1,47.6714,-122.329,train
1387300760,385000.0,98011,3,2.25,1650,7800,1.0,0,0,3,7,1260,390,45,0,45,17.780169427302226,0.2115384615384615,1,47.7377,-122.197,train
2412600030,235000.0,98003,6,3.0,2180,7956,2.0,0,0,3,7,2180,0,34,0,34,33.509436005906544,0.2740070387129211,0,47.3054,-122.305,train
2623069031,542500.0,98027,5,3.25,3010,1074218,1.5,0,0,5,8,2010,1000,83,0,83,29.736051987770846,0.0028020383199685,1,47.4564,-122.004,train
122029066,490000.0,98070,3,1.75,2020,215622,2.0,0,0,4,7,2020,0,40,0,40,24.30800244307492,0.0093682462828468,0,47.4189,-122.499,train
567000680,359000.0,98144,3,3.0,1320,1071,2.0,0,0,3,7,1080,240,11,0,11,3.017756983902358,1.2324929971988796,1,47.5942,-122.296,train
