id,price,zipcode,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,house_age,is_renovated,years_since_renovation,dist_to_center_km,living_lot_ratio,basement_flag,lat,long
7129300520,221900.0,98178,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,59,0,59,11.9726871086601,0.2088495575221239,0,47.5112,-122.257
6414100192,538000.0,98125,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,63,1,23,12.802819128182588,0.3548743441038387,1,47.721,-122.319
5631500400,180000.0,98028,2,1.0,770,10000,1.0,0,0,3,6,770,0,82,0,82,16.416960391944194,0.077,0,47.7379,-122.233
2487200875,604000.0,98136,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,49,0,49,10.538233096639077,0.392,1,47.5208,-122.393
1954400510,510000.0,98074,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,28,0,28,21.55397908821295,0.2079207920792079,0,47.6168,-122.045
7237550310,1225000.0,98053,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,13,0,13,25.131187907975647,0.05317374668890415,1,47.6561,-122.005
1321400060,257500.0,98003,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,19,0,19,32.97152528040871,0.2515031529549787,0,47.3097,-122.327
2008000270,291850.0,98198,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,52,0,52,21.90972145256874,0.10915456698589229,0,47.4095,-122.315
2414600126,229500.0,98146,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,55,0,55,10.447675514441789,0.23828647925033467,1,47.5123,-122.337
3793500160,323000.0,98038,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,12,0,12,34.80033827531582,0.28810975609756095,0,47.3684,-122.031
1736800520,662500.0,98007,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,50,0,50,14.040968436787722,0.3634136382196815,1,47.6007,-122.145
9212900260,468000.0,98115,2,1.0,1160,6000,1.0,0,0,4,7,860,300,72,0,72,9.79035246326564,0.19333333333333333,1,47.69,-122.292
114101516,310000.0,98028,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,87,0,87,18.33816188224108,0.07185568564393749,0,47.7558,-122.229
6054650070,400000.0,98074,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,37,0,37,21.53470383860958,0.1415289256198347,0,47.6127,-122.045
1175000570,530000.0,98107,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,115,0,115,8.475703332965095,0.3731958762886598,0,47.67,-122.394
9297300055,650000.0,98126,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,36,0,36,5.032356831024087,0.59,1,47.5714,-122.375
1875500060,395000.0,98019,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,20,0,20,30.831788215306144,0.1346153846153846,0,47.7277,-121.962
6865200140,485000.0,98103,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,98,0,98,6.567006724658636,0.37209302325581395,0,47.6648,-122.343
16000397,189000.0,98002,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,93,0,93,34.30913132708084,0.1218274111675127,0,47.3089,-122.21
7983200060,230000.0,98003,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,46,0,46,30.297481248802434,0.127890321260487,0,47.3343,-122.306
6300500875,385000.0,98133,4,1.75,1620,4980,1.0,0,0,4,7,860,760,67,0,67,10.728801195846403,0.3253012048192771,1,47.7025,-122.341
2524049179,2000000.0,98040,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,46,0,46,11.13939423099424,0.06797869258029286,1,47.5316,-122.233
7137970340,285000.0,98092,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,19,0,19,33.42016200363811,0.3603174603174603,0,47.3266,-122.169
8091400200,252700.0,98030,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,29,0,29,30.767126182257474,0.11096131909156902,0,47.3533,-122.166
